#qTlo qThi PDF0  uncertainty
0 10 341044.5458226886 3203.237875735629
10 15 130052.7685512772 641.8474092350057
15 20 91399.51741891084 656.8616785506604
20 25 65130.3523898338 660.8697979508889
25 30 48526.06780954042 391.7629443041585
30 35 37768.36968291497 494.2257677478294
35 40 29144.85115462121 282.7365322183195
40 45 22675.23743163531 334.5825103895324
45 50 18523.91292450618 224.8253113833298
50 60 27474.15082596142 232.2550006737114
60 80 31387.72452806136 143.0125107894006
80 100 13449.39587669568 118.790934171452
100 120 6816.797158574791 54.96037013601498
120 150 5243.684834823463 23.66145439125764
150 200 3583.115746779946 15.44120977248248
0 200 872220.4921568254 3503.342898540626
