#qTlo qThi PDF0  uncertainty
0 10 344362.2628600439 521.4597417921083
10 15 132233.0059975623 163.6709022151382
15 20 92577.43813149065 94.65325174214877
20 25 66914.64012614684 55.28613193678035
25 30 49741.33387469288 51.48085889178888
30 35 37874.47463650248 21.55777987949003
35 40 29439.15852097498 12.69568419535011
40 45 23298.85067897593 7.804235416777712
45 50 18686.46003518286 7.12402123312603
50 60 27468.05999472034 17.43215017756739
60 80 30545.97704128427 10.18000240199962
80 100 11543.48571239919 4.033153185781777
100 120 4768.429478704882 1.270479702788437
120 150 3536.770730804446 0.932444085317086
150 200 2417.353163730504 0.5940144587212861
0 200 875407.7009832164 560.8374906517869
