#qTlo qThi PDF0  uncertainty
0 1 8446.45918629173 40.01475803244951
1 2 22907.9981723305 81.85281430925606
2 3 32361.01248618233 41.18197988948084
3 4 36870.80199241452 26.51236903539843
4 5 37880.36089041328 18.97436938899876
5 6 36870.09261813886 14.576518229994
6 7 34865.13630530308 11.38876344638955
7 8 32470.4156069009 9.41222150839949
8 9 30005.42129224182 7.946752881143523
9 10 27635.18365382086 6.81575436515881
10 11 25424.59002979014 6.00187441958446
11 12 23394.8434809124 5.21901208122001
12 13 21541.38670756052 4.994513738228197
13 14 19869.79928964866 4.147261531926564
14 15 18351.85878295096 3.771947348265658
15 16 16977.37594245745 3.406969151739865
16 17 15729.87290845136 3.052604946946458
17 18 14599.06565449837 2.778162801375513
18 19 13569.95283913649 2.568709456898663
19 20 12631.10098047367 2.527520246325075
20 21 11770.96590926586 2.407226622218046
21 22 10984.45847173178 2.151961398736314
22 23 10263.43392893097 2.014336969893116
23 24 9603.07587075865 1.782204154782305
24 25 8994.240951097319 1.658528285856359
25 26 8432.903313538605 1.546596465588961
26 27 7915.60239356765 1.444729597877419
27 28 7437.279495741856 1.367085084323497
28 29 6995.134882073447 1.285919992855453
29 30 6585.321114336435 1.223409204312658
0 30 571385.1451509607 108.5886664236112
