#qTlo qThi PDF0  uncertainty
0 1 22409.85522311122 2.191310474153606
1 2 59465.25060389574 5.765541094187533
2 3 82137.42542287371 7.801266288361302
3 4 91725.33679840343 8.555043287146718
4 5 92952.12167837605 8.533398954749263
5 6 89736.51266384278 8.12419989845813
6 7 84510.27731921915 7.556977231529922
7 8 78596.21756248358 7.061093333769745
8 9 72664.51021494702 6.04535135847325
9 10 67018.7810586003 6.009458155220662
10 11 61796.26902976573 5.306138822005996
11 12 57019.21068335826 4.85287479583941
12 13 52677.60957686283 4.444877932044124
13 14 48747.98311701443 4.080111152742792
14 15 45186.21461191226 3.751801141282986
15 16 41956.63190601343 3.456472468892911
16 17 39023.81989379355 3.190155585281869
17 18 36355.48862422616 2.949392890185195
18 19 33922.90225790384 2.731347329532478
19 20 31700.65527178515 2.533467798720538
20 21 29666.34274603484 2.353249782032884
21 22 27800.42732573927 2.188863575087569
22 23 26085.58951646471 2.038606131617491
23 24 24506.76576355548 1.900951542228061
24 25 23050.62081218054 1.77472464950695
25 26 21705.35007601748 1.658734538487641
26 27 20460.50680361625 1.551954240231162
27 28 19306.79221035156 1.453505563292522
28 29 18235.93280664858 1.362659483035379
29 30 17240.48193603906 1.278488390640357
30 31 16313.91763350994 1.200616965870143
31 32 15450.25312781618 1.128402272769246
32 33 14644.15747836428 1.061327740093807
33 34 13890.83459720285 0.9989718537032376
34 35 13185.9667533735 0.9409258784180369
35 36 12525.65967598767 0.8868289903171495
36 37 11906.3961314224 0.8363595845839387
37 38 11324.99483659659 0.7892230592449033
38 39 10778.57444822365 0.7451546406467674
39 40 10264.52023338678 0.7039166814278781
40 41 9780.455457591657 0.6652910038192319
41 42 9324.215944157517 0.629080792134638
42 43 8893.827689591733 0.5951064451885912
43 44 8487.486575343446 0.5633115315478741
44 45 8103.541564589053 0.5333129315272565
45 46 7740.479195971406 0.5051038180979053
46 47 7396.91016358319 0.4785580299949715
47 48 7071.557225633926 0.4535608717757738
48 49 6763.328724597135 0.4303586228199723
49 50 6470.971313480341 0.4081916656016661
50 51 6193.574923549954 0.3872824536416136
51 52 5930.214595602955 0.3675451505548968
52 53 5680.03828231282 0.34890786769191
53 54 5442.255937897299 0.3312984320188535
54 55 5216.136010504923 0.3146514309025168
55 56 5000.998478305444 0.2989100068675252
56 57 4796.21192009402 0.2840178833444122
57 58 4601.189847869356 0.2699227153330982
58 59 4415.382788323621 0.2565771420117732
59 60 4238.27934760013 0.2439370509500128
60 61 4069.380030794231 0.2517634172663462
61 62 3908.288511710285 0.3564696856434851
62 63 3754.508776281143 0.03014864609805144
63 64 3607.653324650892 0.0249905959674255
64 65 3467.329573485519 0.1029971745112844
65 66 3333.119377156131 0.2295443949493314
66 67 3204.734214188889 0.06907884598233392
67 68 3081.693718130756 0.0833928477188312
68 69 2963.489992059713 0.1962435846145489
69 70 2849.397312644576 0.05550268572488191
70 71 2738.83917683036 0.0865955664142946
71 72 2631.567215446363 0.06238899232730424
72 73 2527.500020435726 0.1550650716558905
73 74 2426.57472161071 0.1934104204942349
74 75 2328.810522683205 0.1627166672520278
75 76 2234.188571691267 0.1494674228626986
76 77 2142.723539187014 0.1406330402747053
77 78 2054.426929302724 0.129537466499849
78 79 1969.304731158323 0.1193153692136021
79 80 1887.355997814104 0.1023705951941123
80 81 1808.571371871738 0.08838045225261049
81 82 1732.931782447215 0.07945883318848698
82 83 1660.408170811872 0.1004597936226292
83 84 1590.96117764832 0.07592474272234216
84 85 1524.541507102861 0.02698615894313381
85 86 1461.101465687015 0.01343883329400859
86 87 1400.535960442091 0.06479408383964565
87 88 1342.809264896095 0.05493621162917046
88 89 1287.822638683718 0.04904778508862825
89 90 1235.485751907575 0.04690016662910329
90 91 1185.702925905176 0.04749688147717213
91 92 1138.375039594396 0.0201772710353551
92 93 1093.397570156095 0.01493477470876782
93 94 1050.666377751561 0.01080005599050532
94 95 1010.075305709989 0.00768021298635993
95 96 971.5182142683193 0.07571271588666273
96 97 934.8898568873946 0.07019356747592832
97 98 900.0804046329133 0.07163573549639785
98 99 867.0015304452173 0.06654241730037939
99 100 835.5483972558795 0.06175525155835184
0 100 1761707.525388887 26.12862587171249
