#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 59488.94195493755 841.3449860619513
-2.3 -2.2 58751.38151948248 870.742556530668
-2.2 -2.1 61419.79860429788 993.9974602346244
-2.1 -2 64484.04820498714 918.208577624207
-2 -1.9 65733.67149152423 1043.886073199015
-1.9 -1.8 70058.57865544825 962.8944125849108
-1.8 -1.7 71867.93537452492 709.3880657468736
-1.7 -1.6 73370.38042725937 1110.603873400123
-1.6 -1.5 76757.36773630757 1001.563648439433
-1.5 -1.4 36949.0313041867 956.3854479917649
-1.4 -1.3 38642.6881543686 650.6774879460517
-1.3 -1.2 39077.74879556317 789.3685987360973
-1.2 -1.1 39102.76261004001 868.1510901286098
-1.1 -1 40840.59736626662 962.8200017602119
-1 -0.9 40934.45708631119 906.8846869895541
-0.9 -0.8 42450.14368281038 837.5671184363541
-0.8 -0.7 43498.14733932335 939.5866657214503
-0.7 -0.6 46861.61437942456 1201.1580355848
-0.6 -0.5 44823.28125032695 990.4862612278373
-0.5 -0.4 44471.91135098456 1516.118471516941
-0.4 -0.3 45874.08928531094 1269.519118095456
-0.3 -0.2 43943.69531505762 1120.852337354555
-0.2 -0.1 45232.51043028882 1310.051808192125
-0.1 0 46410.39509345833 1074.760633663634
0 0.1 48569.53119655162 1221.688476140764
0.1 0.2 48297.16943354589 1128.380167856194
0.2 0.3 46220.56899396637 916.6271549896315
0.3 0.4 48359.46985363323 1039.81292323718
0.4 0.5 45666.64038110155 895.3541123365654
0.5 0.6 44468.691750711 1079.323975360874
0.6 0.7 42839.44677708848 1209.167265754501
0.7 0.8 43801.22364498573 947.3664793593332
0.8 0.9 44394.70514651181 1264.365330701208
0.9 1 42253.00953204551 1199.028603323611
1 1.1 40365.77451049218 890.145554533735
1.1 1.2 39493.72359889894 862.0149834088511
1.2 1.3 37966.18482796417 820.9108230025973
1.3 1.4 38636.68689173411 898.7984876058227
1.4 1.5 36371.80719449774 741.861852045359
1.5 1.6 75374.68468873308 1503.50206302486
1.6 1.7 74012.27668398412 748.4754989591468
1.7 1.8 72679.86427750366 1075.801345056072
1.8 1.9 69834.30242417447 917.4325291177063
1.9 2 68153.76295806954 724.9464309627897
2 2.1 63164.4808672888 811.5371322852143
2.1 2.2 62874.65516044228 960.7618561192302
2.2 2.3 60324.47244671511 816.7931806010364
2.3 2.4 56481.22406750191 809.7971045741418
-2.4 2.4 2491649.534720632 6959.264971815423
