#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 81181.24635413254 87.25579478032704
-2.3 -2.2 86207.38875651255 89.7082976522648
-2.2 -2.1 89526.47125742915 99.86077829275118
-2.1 -2 92581.30828011609 116.2547956561417
-2 -1.9 96620.20762026892 108.2461774467627
-1.9 -1.8 101721.1707376069 116.4031869195645
-1.8 -1.7 105495.1998223752 123.0499705407328
-1.7 -1.6 108524.2196768373 128.6407872658749
-1.6 -1.5 112683.2689952869 133.1225763658441
-1.5 -1.4 36004.1595365653 144.0964159623697
-1.4 -1.3 37289.12047317757 153.9246471356182
-1.3 -1.2 37908.2958674839 152.4620882075355
-1.2 -1.1 38715.91137193982 177.8874150026162
-1.1 -1 40172.67843494222 184.0946696553836
-1 -0.9 40952.03034435106 192.7198984814231
-0.9 -0.8 42366.97828725562 203.6046613647303
-0.8 -0.7 42912.4467912242 205.77151545265
-0.7 -0.6 36391.59979048805 205.7376533207669
-0.6 -0.5 44385.02073016836 218.9414600683266
-0.5 -0.4 45194.161195351 248.7482018501399
-0.4 -0.3 45515.47231180422 205.659440685066
-0.3 -0.2 45207.18587565364 259.890005157417
-0.2 -0.1 46140.73273142408 252.0180074818297
-0.1 0 45419.47346218703 206.3795874115477
0 0.1 45506.82219597507 207.9732685546716
0.1 0.2 45753.12074003689 211.5353533029776
0.2 0.3 45160.24695035417 233.6165898620708
0.3 0.4 45762.64908156551 207.1168859313506
0.4 0.5 45015.07238944722 226.1566280379451
0.5 0.6 44474.34079577516 219.8345820119634
0.6 0.7 36343.19590602553 206.6964589972968
0.7 0.8 42767.78375096143 206.837168018897
0.8 0.9 42489.81816992722 203.9505686333444
0.9 1 41045.74994292943 191.9552585326077
1 1.1 40139.56002957272 182.9701824895435
1.1 1.2 38775.82112823401 180.7538956675801
1.2 1.3 37809.05132229155 150.9920872358374
1.3 1.4 37291.23431798394 155.5932141313832
1.4 1.5 36089.86010172952 143.5455800516156
1.5 1.6 112801.1156517094 131.7525955449065
1.6 1.7 108678.7004814247 127.232621506078
1.7 1.8 105641.3381134122 124.9533622073022
1.8 1.9 101811.3685521604 115.3778157386453
1.9 2 96782.60690294571 108.5900736703839
2 2.1 92590.90000142931 103.0182700056942
2.1 2.2 89473.29390061519 96.44020996664837
2.2 2.3 86246.99724965708 90.68670285314933
2.3 2.4 81325.06331073344 92.16220811684141
-2.4 2.4 2998891.459691478 1195.674932254337
