#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 50853.61173750937 1098.823828726687
-2.3 -2.2 54353.47655567809 908.4903693221671
-2.2 -2.1 56477.53242387128 1242.899523985947
-2.1 -2 54522.20712985643 743.7093683183455
-2 -1.9 60751.17488393488 1008.915942012121
-1.9 -1.8 62647.80959107834 740.3727145779201
-1.8 -1.7 63567.7150152128 824.969220018245
-1.7 -1.6 65333.77301726185 1024.450438737191
-1.6 -1.5 66771.94731702656 1254.580023269341
-1.5 -1.4 37089.34325625101 1010.230612692469
-1.4 -1.3 38465.02600664654 909.8280381067576
-1.3 -1.2 38581.70338998013 803.7165820748793
-1.2 -1.1 39415.25556149316 1083.671835332651
-1.1 -1 41031.12745084488 1594.88217693983
-1 -0.9 42355.97324612134 1040.938496150645
-0.9 -0.8 44133.01901543359 1075.967216622437
-0.8 -0.7 45112.53138974897 1664.127095518794
-0.7 -0.6 44476.39736104576 1522.997059741815
-0.6 -0.5 45771.63758811259 1162.581973628759
-0.5 -0.4 46461.37689354434 1091.514210574797
-0.4 -0.3 43755.7625353758 1777.84813215688
-0.3 -0.2 44526.41260628621 1211.145392021112
-0.2 -0.1 48139.83250452921 1588.552336906385
-0.1 0 46427.73676548051 1392.44973025493
0 0.1 46123.20398871045 1401.223219435862
0.1 0.2 49233.22277798815 1521.764116154138
0.2 0.3 48136.84495032078 1565.01514090519
0.3 0.4 45325.93958703792 1199.984478411916
0.4 0.5 44018.30813235693 1305.635791639804
0.5 0.6 45426.25326466141 1268.427019786021
0.6 0.7 43398.43152083183 1393.405255502776
0.7 0.8 44728.7924904692 1198.070020670403
0.8 0.9 44210.7425395895 1389.028153376055
0.9 1 41581.16676108204 1061.385122921585
1 1.1 42342.78343902757 1089.689018439869
1.1 1.2 38365.6176399619 1464.447144651633
1.2 1.3 43038.35987504106 1940.92101165088
1.3 1.4 38215.66731273732 1759.317973775234
1.4 1.5 35803.44446004604 1243.259395473355
1.5 1.6 68799.16366567268 908.6034148528155
1.6 1.7 66310.7827852818 1017.430350745513
1.7 1.8 63363.56080667631 1000.475077999835
1.8 1.9 63515.00711306514 1081.383927610429
1.9 2 56252.11784345182 1237.494187499961
2 2.1 53973.6122755496 937.0367619885461
2.1 2.2 54493.62606600884 1199.519892629173
2.2 2.3 53664.70542178253 1213.923690367598
2.3 2.4 50547.8696594033 924.2951279697196
-2.4 2.4 2361891.607619077 8604.562398567139
