#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 36630.83155890576 1787.583276682633
26 27 41952.76614776585 1589.929123012698
27 28 48477.86787534905 2484.744249967478
28 29 57093.06270385883 2594.297978820224
29 30 59214.04018823386 1474.987871135315
30 31 63733.44161659552 2080.254445626596
31 32 71189.10123919859 1938.287212755675
32 33 75860.80544437098 2563.572312426078
33 34 78016.04891631613 2128.013586409382
34 35 79155.47652947204 3230.228653833746
35 36 95000.12469854881 2805.569252696081
36 37 100194.0900982372 2486.071917216915
37 38 114215.4308632716 3795.503856203066
38 39 112404.7929242388 3642.304018839831
39 40 108530.5197976066 2937.992703085994
40 41 98847.37902807526 7982.35124288417
41 42 90145.94008536835 2401.435988045913
42 43 73145.43735437226 2012.147067787648
43 44 62073.94038763514 1944.348671806032
44 45 49568.96072494637 815.6734647828192
45 46 41540.41704914483 1097.984636243504
46 47 34298.41345200298 1167.248799796428
47 48 28333.1980269286 578.1807926634474
48 49 23182.34799116649 657.1223093413881
49 50 21154.66670273327 624.1099112313847
50 51 17041.105504263 497.1268592720732
51 52 16610.86041703132 787.1266281551949
52 53 14140.31239582707 965.3713172257294
53 54 11667.68072369544 514.1272182057431
54 55 10301.0988359117 433.5946073162611
55 56 9512.152973451004 409.7048037439694
56 57 8209.150204805821 454.8624297739524
57 58 7773.9099600265 274.0624876247534
58 59 7033.014533821289 279.5426340807838
59 60 5783.517104152043 341.1185137872174
25 60 1772031.904057329 13615.30669947951
