#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 40802.18729092328 162.1292331832123
26 27 43704.90690400258 176.8775847712729
27 28 47381.19124844451 216.7049856485564
28 29 51805.4090247592 229.5790472488996
29 30 56752.55402958119 217.3622225165576
30 31 62535.77985667274 237.3739992288144
31 32 68160.30125265123 247.6307694993278
32 33 73094.22560886468 261.6630771233467
33 34 79090.67893745797 314.9893761993134
34 35 85670.51783328608 327.4522591162195
35 36 91886.3613522813 343.5726635961099
36 37 97934.68062602266 366.9355707173121
37 38 103343.2996575141 383.8588841700722
38 39 107058.4499194341 393.4349838694853
39 40 106802.3437982165 440.978069792172
40 41 99462.80835092434 480.5180647324953
41 42 84723.29471106519 317.5836527677898
42 43 70338.40228478733 221.9207565106718
43 44 57798.50899183653 164.7922640561461
44 45 47544.39837310856 132.2327960641477
45 46 39207.23816099789 105.7492760894489
46 47 32810.49008801134 92.07396865654454
47 48 27616.44925530286 75.76380458484029
48 49 23558.09387468152 66.70734697214597
49 50 20148.72784673383 55.83470437956374
50 51 17334.74676049633 46.17712154556961
51 52 14940.0194336729 34.61337196236665
52 53 13104.35646030801 31.28952464479681
53 54 11401.50705802457 26.54453883842305
54 55 10093.93172020506 28.10278444309539
55 56 8834.166834226671 21.30779079656161
56 57 7917.401753594931 19.81836516971554
57 58 6875.935091400059 21.97388398721584
58 59 6206.826478385903 15.55025919457385
59 60 5521.281585070473 14.79564736760015
25 60 1721461.472452946 1346.312780077987
