#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 39837.88127242266 1397.378411289245
26 27 40031.37418836098 2056.482757066857
27 28 48833.28741394688 2464.547796398764
28 29 53329.09395754666 1719.874743242295
29 30 56836.30680203819 1493.563918223937
30 31 66435.62362725247 2629.166277904907
31 32 71634.51415671618 1528.814815314373
32 33 72515.21447995279 2590.698246807975
33 34 83555.95792170498 1808.577759730163
34 35 88877.33332000353 3185.223599482329
35 36 97407.10897093685 2642.456666457383
36 37 100059.8365557865 2313.612073160289
37 38 107925.57179619 2788.350526257738
38 39 125254.3958616251 5363.186407220811
39 40 112531.0298413984 4373.868908117687
40 41 103661.9575873744 5157.447788506593
41 42 89396.87104234006 2309.536103968817
42 43 70555.1006195982 1598.982012871883
43 44 57958.38482360606 1090.147834499381
44 45 49850.41549934718 1279.277281687585
45 46 39575.41277943831 1112.394724094076
46 47 33156.10682692128 951.0632849861734
47 48 28864.07020789381 738.690175865341
48 49 22426.22031186402 888.9129402418446
49 50 21227.96953717053 748.593247802097
50 51 17173.54014374578 404.741304248198
51 52 15456.72585275597 638.970238486486
52 53 14175.8057359209 347.2349598129548
53 54 11222.60349507484 706.9445627546648
54 55 11344.91552108844 677.5813915830015
55 56 8546.174801091178 395.3852679249653
56 57 9300.064276105919 551.4990918958308
57 58 8027.082890354094 401.8289463578118
58 59 6446.223473783291 348.2056082970873
59 60 5572.719248356732 223.585684431707
25 60 1789002.894839714 12594.65040613468
