#qTlo qThi PDF0  uncertainty
0 2 103689.7302722707 10220.41639172121
2 4 186735.8166939933 4334.498824774862
4 6 194646.1767777935 3667.716630924365
6 8 180290.5642632795 2824.273425120159
8 10 156072.7885211224 1951.385839673097
10 12 130142.7430954794 2478.700740826165
12 14 109480.9572809113 1497.341393809742
14 16 92531.34151989147 1493.080545454796
16 18 78626.72904680137 1265.320283048426
18 20 69077.32506722897 1118.633438259847
20 22 58890.67429790065 1075.658187290966
22 24 52416.86725400677 1520.998744519256
24 26 44631.26082127389 897.0177870423772
26 28 38277.12366630853 1366.900907663956
28 30 35167.47100560382 1065.884180511369
30 32 31135.74867954958 775.2662286104209
32 34 27585.13484464328 1020.541952477943
34 36 23766.48935114799 639.4081991642042
36 38 22206.88359568364 1216.503501122009
38 40 18706.74255159796 540.3153459574295
40 42 16185.88685019114 320.2433320873781
42 44 14621.98557278311 327.9480454154029
44 46 12963.30589766762 479.5912734834067
46 48 11023.31666233356 317.7792262035029
48 50 10365.00624980557 444.2842381235263
50 52 9321.672252814647 237.3917251535059
52 54 8702.44061429646 599.5703804371163
54 56 7896.465022913442 254.1350158587263
56 58 7369.745368327451 208.1298208367885
58 60 6963.194942437981 265.6382593183552
60 62 6200.460811063384 200.4593484409619
62 64 6047.185706348673 289.0368051293432
64 66 5166.731831518216 217.8838593081391
66 68 4862.92918632165 167.0093313947254
68 70 4266.059237806925 153.8548495579972
70 72 4274.163054398341 177.0302436809932
72 74 3837.824782338487 131.5747595289228
74 76 3741.970498579663 169.9141048259252
76 78 3418.059699749092 133.5298405449906
78 80 3207.25282297391 103.0685315668853
80 82 2837.955302151703 119.6876189608588
82 84 2572.377762396205 133.0667153844497
84 86 2171.789593711105 155.1418883584302
86 88 2221.296106667329 144.8652688357346
88 90 2059.889770422695 103.5694412503554
90 92 1920.11719280221 88.32514708961536
92 94 1745.402629857783 121.4919360158945
94 96 1703.107574150711 72.39527975653323
96 98 1646.527312691657 69.32213433938894
98 100 1396.70354092425 76.67911351204049
0 100 1824789.392456934 13222.69652002467
