#qTlo qThi PDF0  uncertainty
0 2 81111.28106041695 382.0121764905571
2 4 181649.3199593289 582.8134026378254
4 6 199974.0229254018 310.9634731508783
6 8 182034.9837056056 212.2601167376779
8 10 156203.4970969543 157.4693457755491
10 12 132363.2218816298 144.9102018248559
12 14 111777.5591370935 138.9639453040261
14 16 94881.29266998002 73.63387565035246
16 18 81025.10249859749 54.19970926922559
18 20 69561.94461181003 43.02580162642029
20 22 60010.12348553248 39.04492784781113
22 24 52070.93065736908 25.2651640500364
24 26 45363.61543335009 19.53422723002943
26 28 39670.03130499573 15.14384194317247
28 30 34797.48793541084 12.31160597920375
30 32 30599.59488472238 10.37797289603562
32 34 26957.32433994787 8.208259166538168
34 36 23776.22966118959 6.554099547578528
36 38 20964.53891617861 5.957938470863411
38 40 18413.99685684719 10.21196374532116
40 42 16050.5763653638 7.495605497498192
42 44 14100.05093470557 11.47293989386377
44 46 12523.35255012182 5.757276063987638
46 48 11223.15660819683 6.124144452072194
48 50 10141.90227361644 6.913103582246905
50 52 9238.718455909948 6.177486021821487
52 54 8469.08939354723 3.393107792669457
54 56 7770.155605583241 6.250886920688147
56 58 7171.52348115779 7.026947471593089
58 60 6618.934827551999 5.245546320365196
60 62 6132.304223089697 4.313007784161944
62 64 5675.293975118575 5.99269504807074
64 66 5208.836838447928 5.052729901173673
66 68 4759.923787146035 2.92539897934012
68 70 4326.28819340155 3.117314689542778
70 72 3916.375158480311 2.624859119386198
72 74 3525.899689124859 1.870135016912507
74 76 3163.434006491543 1.086665738162743
76 78 2835.055762600764 1.670767693188881
78 80 2542.209861514146 1.384789356238624
80 82 2284.636496578381 0.8080506195984831
82 84 2052.576240211535 0.6679449565357247
84 86 1851.099576653406 0.6080787378077362
86 88 1677.480478010733 0.5547505849344345
88 90 1528.940255955543 0.5060035028573906
90 92 1400.106405478067 0.4773131305818717
92 94 1288.411731914978 0.4360515643204515
94 96 1192.252738187548 0.4010540435266781
96 98 1108.137375064011 0.3818915212832605
98 100 1033.886202884231 0.3560207203501586
0 100 1804016.70851447 840.5636473574245
