#qTlo qThi PDF0  uncertainty
0 2 92894.89186290279 10169.34185370236
2 4 187745.4810804259 7983.638583105085
4 6 201571.0648307315 5086.301674317756
6 8 180648.3111334306 3630.10970258492
8 10 153099.1075066054 2587.884769537221
10 12 126561.6760238955 2383.436810366048
12 14 110046.0142608409 1774.551218185547
14 16 91407.24430264639 1864.397709407568
16 18 78754.23935668299 1694.444693750274
18 20 70251.76551921981 3195.016713274091
20 22 57398.11754716032 1620.444379014553
22 24 48783.9758110445 1618.100695023433
24 26 42681.15530048138 781.0204901269606
26 28 38452.20732285465 952.3840975944456
28 30 35632.73269904111 750.3190319919058
30 32 31504.61354960446 792.980927648513
32 34 26563.70078985803 699.7851127681291
34 36 23893.43241099194 786.6471029671718
36 38 20366.24289459861 536.7652051429319
38 40 17442.74650088541 555.0006513359989
40 42 16331.6414993801 485.9453675374971
42 44 13731.05074655937 657.9076710251829
44 46 12938.37608908879 594.0540705481399
46 48 11154.76131006967 389.4064939622507
48 50 10428.26741768078 365.3860552589132
50 52 9285.065474544703 368.579760552895
52 54 8278.559226684503 373.9680652055953
54 56 7959.921019453516 318.2617305052341
56 58 7021.290797665625 325.465078981724
58 60 6615.804754633465 284.5773112547389
60 62 6153.722149600961 216.2274487376611
62 64 5523.191583375654 267.8081191948218
64 66 5781.461185527398 243.1720119766361
66 68 4785.697118791593 340.748945094527
68 70 4645.927686120593 210.3187078676813
70 72 4170.650758190612 210.5894204558707
72 74 3436.819510504713 265.6831404692784
74 76 3478.548091565895 171.6896717074445
76 78 3372.740291833296 196.9090958328481
78 80 3027.529231721173 179.6119190975174
80 82 2930.900651979063 147.1953994765516
82 84 2706.738158055264 163.3140025276144
84 86 2277.854635467264 200.0243227259656
86 88 2331.29648879043 117.4231585209538
88 90 2226.014151511904 191.0458404031148
90 92 1718.426168229335 115.3445981377638
92 94 1837.383449244587 128.6354966247288
94 96 1928.335460988993 152.1355950627772
96 98 1801.30441580284 103.6697641035608
98 100 1517.688302880251 137.8390196403793
0 100 1805095.688529844 15829.96042753167
