#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
24 26 25 26 1153.207197514281 80.17154275989135
24 26 26 27 1313.230582126373 127.5261223254475
24 26 27 28 1476.260631075076 213.7841470987744
24 26 28 29 2025.162645035814 165.9412036219718
24 26 29 30 2896.505319395803 172.9818261639255
24 26 30 31 3016.168701255046 283.3119683944972
24 26 31 32 2023.605287054678 164.2284523204069
24 26 32 33 1610.810872199442 138.8846534208424
24 26 33 34 1572.720505707169 148.6946752196962
24 26 34 35 1802.347056768797 166.0918354677013
24 26 35 36 1669.838028975735 173.8970840974497
24 26 36 37 1366.542708656874 98.54338107514731
24 26 37 38 1394.495631320085 96.44481922139754
24 26 38 39 1701.887185847954 198.5954447928528
24 26 39 40 1175.650002638004 217.8307388231862
24 26 40 41 1253.798736186077 133.8613570365072
24 26 41 42 1350.204106494855 92.65904236218167
24 26 42 43 1428.05995064585 172.9224397483459
24 26 43 44 1343.642370358389 137.5676339556981
24 26 44 45 1369.687853664997 113.4488318129575
24 26 45 46 1248.997292966414 114.4348794884659
24 26 46 47 1320.83111588615 126.6962002366741
24 26 47 48 1389.664465104453 142.4380571077806
24 26 48 49 1580.816451323467 113.8802420776824
24 26 49 50 1354.940103264029 188.4326999293676
24 26 50 51 1419.455903232695 353.8397590174106
24 26 51 52 1956.632856043284 153.492137683998
24 26 52 53 1846.046950419533 125.2941425052784
24 26 53 54 1791.885673201413 155.6907591007725
24 26 54 55 1506.58729145466 117.5880609503428
24 26 55 56 412.6378290427373 35.95909553844118
24 26 56 57 159.64238817893 19.13226459595162
24 26 57 58 3.521823818991363 11.27936281630962
24 26 58 59 2.375630263134154 0.9311147297670039
24 26 59 60 1.232590841178819 0.2290745691847446
26 28 25 26 1050.171228039801 101.4267084082855
26 28 26 27 1254.662120786788 102.942091479957
26 28 27 28 1528.364138332807 137.3577396130748
26 28 28 29 2079.207880452677 171.184699195117
26 28 29 30 2646.650239955319 192.8734408555364
26 28 30 31 2035.980020051003 134.2174042470551
26 28 31 32 1739.494135344537 104.7081380188836
26 28 32 33 1326.33426026391 205.6860071901223
26 28 33 34 1488.29717502675 110.6984614590181
26 28 34 35 1572.683416266437 92.94368332318982
26 28 35 36 1303.260930316794 131.8671503524364
26 28 36 37 1250.247587588211 120.8781611420725
26 28 37 38 1142.795656053925 95.14705310795127
26 28 38 39 1005.530689095817 138.382585936354
26 28 39 40 1242.066822087194 92.23235288726528
26 28 40 41 1167.014764205596 82.5355085816915
26 28 41 42 1139.84327136769 83.59498316282557
26 28 42 43 1067.315570016663 109.9105448942105
26 28 43 44 923.9431853113419 114.3748888888404
26 28 44 45 1120.337310114179 94.31701907957954
26 28 45 46 1041.069288670309 132.5746721298964
26 28 46 47 1026.823680994921 115.8153509383198
26 28 47 48 1222.361891811434 90.26162410608399
26 28 48 49 1065.62763340129 72.45118109301087
26 28 49 50 1127.307432515644 72.74075105544247
26 28 50 51 1192.417625622018 77.72978309645259
26 28 51 52 1152.132904968489 114.1250698135527
26 28 52 53 1442.114589870805 121.3600572431165
26 28 53 54 1578.934176825141 95.57146575409388
26 28 54 55 1464.044701234827 138.6150739602142
26 28 55 56 1415.465713820361 113.8973268372694
26 28 56 57 555.5017968635702 72.15937962057701
26 28 57 58 13.43419532301658 19.86199701569687
26 28 58 59 -6.519359672972768 4.421250656162528
26 28 59 60 3.882701533466349 0.694301708920902
24 28 25 60 91317.89311242204 1128.743527374948
