#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
28 30 25 26 1052.942643142743 117.7797053579554
28 30 26 27 1481.0251901931 138.862171609955
28 30 27 28 1620.369238056827 182.452278220811
28 30 28 29 2249.898252619096 159.4933095824427
28 30 29 30 1860.501646762899 227.820243035038
28 30 30 31 1705.102631365852 104.2630532277896
28 30 31 32 1543.368511630232 120.5363984264123
28 30 32 33 1311.049497584605 95.82293657544894
28 30 33 34 1244.33975120887 84.07188099208608
28 30 34 35 1140.629808379554 79.8769727607403
28 30 35 36 1065.622321344499 98.50104298380199
28 30 36 37 1227.608219264041 95.68141021346516
28 30 37 38 1014.462951921687 159.6529655280746
28 30 38 39 1026.937059318776 101.7260387394303
28 30 39 40 918.0660535337278 70.81117170646868
28 30 40 41 971.3632870371557 72.08871570247462
28 30 41 42 997.992610107381 82.1306092160935
28 30 42 43 770.2740066388674 121.8284558443138
28 30 43 44 647.8247099410854 98.13016708111779
28 30 44 45 907.8942625993857 61.28999125637662
28 30 45 46 823.524693806818 58.9276540603162
28 30 46 47 873.1664605914867 100.1323475725217
28 30 47 48 968.1255248376016 110.276860461784
28 30 48 49 858.8422211403129 90.57789891450174
28 30 49 50 731.249515264355 103.2852407493063
28 30 50 51 849.7105458065479 79.07772285403215
28 30 51 52 971.8038263627252 108.6740298930629
28 30 52 53 1003.802847266223 91.73266674661497
28 30 53 54 1102.10905212057 77.99172589077389
28 30 54 55 1470.009712891853 94.26207330900066
28 30 55 56 1185.117603674249 111.6992080220928
28 30 56 57 1565.199645188316 115.3837757422423
28 30 57 58 569.3792672356121 93.48976947983388
28 30 58 59 177.5829004082557 28.55460420546102
28 30 59 60 13.4478914222683 9.59443980470162
30 32 25 26 1052.519944574571 124.2370834113052
30 32 26 27 1189.003298783871 96.3202839591345
30 32 27 28 2158.634236489626 245.9389234227201
30 32 28 29 1908.351817173103 176.4831119423247
30 32 29 30 1472.607827794571 102.4466385252541
30 32 30 31 1101.528363443017 229.9638323775532
30 32 31 32 982.3717999346053 120.8104524568967
30 32 32 33 962.4445049745717 97.47388618211859
30 32 33 34 1049.949153793037 97.53108045547293
30 32 34 35 989.8161162099196 71.81168662193637
30 32 35 36 1016.158842911041 84.15281937878798
30 32 36 37 870.4914432353022 114.029313196755
30 32 37 38 953.3803158007413 91.65984344600487
30 32 38 39 799.6290974331079 64.23791675202249
30 32 39 40 868.3810068870304 69.85309876252795
30 32 40 41 716.2203606710165 57.31213267439206
30 32 41 42 660.9997147480381 105.4964656680255
30 32 42 43 676.026761225542 59.4575004062112
30 32 43 44 775.3156872362406 84.52286654206131
30 32 44 45 880.4883459387941 81.25253199104334
30 32 45 46 796.3713399150377 77.46073891235804
30 32 46 47 766.4106066122324 87.28241352171078
30 32 47 48 744.1913429217258 65.13182828537789
30 32 48 49 848.0222464521936 73.7858628652896
30 32 49 50 844.7372646752082 83.64030478933606
30 32 50 51 784.7733623465672 132.1157096743112
30 32 51 52 757.8704567561201 87.92031544159305
30 32 52 53 597.4708441341274 108.5013339980143
30 32 53 54 800.7829658379535 76.327482189318
30 32 54 55 917.7361196165427 78.71226304546998
30 32 55 56 806.3096851738264 128.5587933734887
30 32 56 57 1048.884474883103 100.2247851065621
30 32 57 58 1260.937097792611 127.5688611243094
30 32 58 59 905.5164926087011 70.96964039634643
30 32 59 60 314.5604319856571 38.13745920614174
28 32 25 60 71199.23773163694 910.7152976237422
