#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
52 54 25 26 397.2328774771463 0.7550812918493706
52 54 26 27 379.525196356948 0.6624646986784072
52 54 27 28 345.9652227575878 0.7421996159459406
52 54 28 29 335.5544598686035 0.7285253544677761
52 54 29 30 305.6047755027153 0.6619245913407381
52 54 30 31 307.1669139766346 0.5689545137199158
52 54 31 32 282.386530669696 0.5734953540337939
52 54 32 33 274.4543523602425 0.572650401354166
52 54 33 34 262.9420662800043 0.5678874780138792
52 54 34 35 266.7938639066378 0.5571833223914735
52 54 35 36 245.3200660084077 0.5068359101433423
52 54 36 37 235.848095757445 0.5243339981699835
52 54 37 38 248.9364379194054 0.5141027984200264
52 54 38 39 222.2012827240029 0.4693011575465886
52 54 39 40 227.8366681043385 0.4400574615525031
52 54 40 41 222.3301429795995 0.4935278245629042
52 54 41 42 209.2211829766694 0.4681269683172233
52 54 42 43 223.6805195605818 0.4850884606472959
52 54 43 44 196.7167752021626 0.4350855640824416
52 54 44 45 194.8828621616584 0.3913060164144634
52 54 45 46 209.2308960280158 0.4085887549283952
52 54 46 47 182.497613957866 0.3897892221603336
52 54 47 48 188.5634016985588 0.410571518437019
52 54 48 49 190.1418794304645 0.386832150982016
52 54 49 50 176.9153900275197 0.4019645858249523
52 54 50 51 187.9856795434922 0.4011862713784232
52 54 51 52 172.3779941904692 0.397483910802244
52 54 52 53 164.1620071060788 0.3776131721371151
52 54 53 54 181.4298288732006 0.3791330694264783
52 54 54 55 161.851682123438 0.3535724033886213
52 54 55 56 164.8415323064872 0.3663520699282896
52 54 56 57 163.6810899014882 0.385182676744346
52 54 57 58 154.106185480013 0.3567955830739186
52 54 58 59 160.8148513727571 0.3711225755672881
52 54 59 60 154.8634057669641 0.3444346618896529
54 56 25 26 342.3501818158994 0.7082467413556198
54 56 26 27 330.1630655419591 0.672033234035279
54 56 27 28 311.8032666507507 0.6177130887312641
54 56 28 29 310.9339279503851 0.6739277268346342
54 56 29 30 279.4178000610453 0.626491465274823
54 56 30 31 282.4200066218681 0.5978146080853501
54 56 31 32 259.3925710255616 0.5395962548444359
54 56 32 33 258.2904269061334 0.5511632818649083
54 56 33 34 240.3075731702135 0.4971524927927694
54 56 34 35 241.2770353077495 0.527749881979665
54 56 35 36 224.4052745109286 0.4795721287433027
54 56 36 37 210.2486037774609 0.4889499695078266
54 56 37 38 225.4569051527783 0.4479644684965077
54 56 38 39 202.6570837169211 0.4677082143485751
54 56 39 40 207.5913858650786 0.4417570198697405
54 56 40 41 204.7069022815161 0.462010298905307
54 56 41 42 190.8597428432688 0.3879526835201385
54 56 42 43 198.6989864070124 0.4280866556793914
54 56 43 44 187.977032445572 0.3835962437889166
54 56 44 45 174.6501017016069 0.383821820634924
54 56 45 46 188.639247943891 0.3590234436809694
54 56 46 47 172.0237071677587 0.382269636261066
54 56 47 48 166.2379985898298 0.3770581358336553
54 56 48 49 171.9365764011972 0.3827374198774522
54 56 49 50 168.2282867344342 0.38438690881863
54 56 50 51 157.4336883937949 0.3463152142071791
54 56 51 52 171.6587666663708 0.3623588281740158
54 56 52 53 148.8354820030614 0.3417224195347884
54 56 53 54 149.8520401013014 0.3409237399556159
54 56 54 55 162.3818993290232 0.332991803470319
54 56 55 56 142.6914588042808 0.3284635322752156
54 56 56 57 148.9820748950898 0.3207026046510186
54 56 57 58 146.2577616645282 0.3456957538295092
54 56 58 59 136.6171384099623 0.3195414479458841
54 56 59 60 144.0159632864143 0.3428443643286015
52 56 25 60 15257.46369450195 4.00364399352448
