#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 51122.92737373977 603.2340072392145
-2.3 -2.2 57511.7885374372 643.0472364149831
-2.2 -2.1 61211.86339659163 493.9141518972089
-2.1 -2 64403.17276282384 1316.413620326535
-2 -1.9 69786.62967890811 867.5549596881544
-1.9 -1.8 76407.33621628198 1017.87142274231
-1.8 -1.7 78659.74618069225 682.2898776020828
-1.7 -1.6 81713.15793246857 892.6225976902974
-1.6 -1.5 86281.51229442089 952.9921716869418
-1.5 -1.4 44168.14601126491 1017.612914520268
-1.4 -1.3 46688.83975203746 1164.712609977769
-1.3 -1.2 45404.9800449077 1157.306573656523
-1.2 -1.1 46411.50843547775 1230.988804618013
-1.1 -1 49580.76472825663 1030.945128305709
-1 -0.9 48540.24729851296 888.952282768346
-0.9 -0.8 52572.85914492465 965.1440241627373
-0.8 -0.7 50838.55480149109 2187.626091167042
-0.7 -0.6 53831.42206339946 1158.947998750632
-0.6 -0.5 55728.25118609209 1502.361944364201
-0.5 -0.4 54107.12214658249 1401.536672959598
-0.4 -0.3 57708.74684459527 1084.738593928794
-0.3 -0.2 53559.46738891175 1550.717846891865
-0.2 -0.1 54395.19406794949 1123.763681639256
-0.1 0 53102.35781928536 1415.533088796364
0 0.1 55941.27623351596 1294.777616911352
0.1 0.2 56091.52843453101 1255.835181135914
0.2 0.3 54010.20972583056 1735.840558379685
0.3 0.4 55502.79339634665 1304.70604355908
0.4 0.5 54972.79702536206 1356.560247976113
0.5 0.6 52126.80872152472 1130.589248846781
0.6 0.7 52711.61786776915 1132.649060110393
0.7 0.8 52451.09630119079 1329.111024654503
0.8 0.9 49972.15738001702 1387.002113271182
0.9 1 51709.40685957177 1002.295734524927
1 1.1 46663.58779322362 1509.418655695333
1.1 1.2 45239.88387403666 1066.154879365181
1.2 1.3 44894.82576119382 1476.952712412024
1.3 1.4 43238.66626059258 1014.221707359319
1.4 1.5 40264.80682013177 999.1790255367501
1.5 1.6 85886.86791646176 661.2419281153782
1.6 1.7 81268.26140208398 1344.269402906674
1.7 1.8 79286.88835406692 827.4140871112814
1.8 1.9 74386.6539296534 814.7932893911465
1.9 2 69105.65681494177 604.6437461078917
2 2.1 63501.14522203913 757.3191666254669
2.1 2.2 61359.34956264304 615.9782748542021
2.2 2.3 57350.6027035671 841.3139997735551
2.3 2.4 51727.04128288524 501.5353380129932
-2.4 2.4 2773400.525750234 7905.851530780528
