#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 66172.56224135638 93.09534077675663
-2.3 -2.2 73429.89567202036 78.07052016937097
-2.2 -2.1 78659.66578938114 96.95023477629287
-2.1 -2 82760.09507397303 93.18917234081368
-2 -1.9 89367.32275460908 99.68059099343226
-1.9 -1.8 97162.08987148371 109.7997037599052
-1.8 -1.7 103304.3232268454 154.6748336464201
-1.7 -1.6 107653.3041542338 126.792928743878
-1.6 -1.5 113642.8484537367 136.0155918420997
-1.5 -1.4 39672.12208416649 187.5326379597641
-1.4 -1.3 42548.46749698839 205.5179913270804
-1.3 -1.2 43270.1381467191 159.9304125233201
-1.2 -1.1 44389.9125286721 178.0292703927218
-1.1 -1 46428.64005601958 183.6443077060192
-1 -0.9 47361.82663020432 192.5029790077773
-0.9 -0.8 49345.41065079132 204.5109357234841
-0.8 -0.7 49803.09191509782 211.0356747982245
-0.7 -0.6 50705.51814162169 212.0641863138098
-0.6 -0.5 51601.83634636015 221.5347125782379
-0.5 -0.4 52235.40580712892 226.3760302673016
-0.4 -0.3 53128.87074255091 235.5933399726706
-0.3 -0.2 52534.70150682172 243.8669376746389
-0.2 -0.1 53379.1650771984 252.7359325546117
-0.1 0 53065.97858030237 222.7924299464454
0 0.1 53240.55080254593 247.8915769858627
0.1 0.2 53306.37993873757 224.2077147525434
0.2 0.3 52550.41752900266 244.6397032531627
0.3 0.4 53001.37062855571 234.6887977444522
0.4 0.5 52206.6930385884 224.4314128901542
0.5 0.6 51467.06500247967 220.5473717427455
0.6 0.7 50533.3704502156 212.4345513982941
0.7 0.8 49580.1938347794 210.455308681208
0.8 0.9 49225.02041716663 257.4564379476901
0.9 1 47106.58749928361 196.4804358591614
1 1.1 45973.13269468547 183.8524114033173
1.1 1.2 44146.06940522913 178.6344402375718
1.2 1.3 42870.13024020899 157.2650512623161
1.3 1.4 41960.07052462664 162.0681558965839
1.4 1.5 39362.30043792659 148.5512751495064
1.5 1.6 113490.5848014449 135.070131648037
1.6 1.7 107488.6739388296 125.2242822201897
1.7 1.8 103104.3159132773 116.4139157307345
1.8 1.9 97012.05521537094 107.9077810189034
1.9 2 89240.29694637441 98.79311967031201
2 2.1 82690.74696224062 91.73761585881873
2.1 2.2 78651.4882935873 86.98748578298695
2.2 2.3 73486.27266652575 78.94044110176728
2.3 2.4 66015.5030430184 70.24374875070269
-2.4 2.4 3079332.483172986 1238.432739339399
