#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 46737.36589987749 943.8256858060452
-2.3 -2.2 50580.46735984775 1216.313642693835
-2.2 -2.1 54001.16808263384 912.7358688048328
-2.1 -2 55473.71307150398 1401.359342519665
-2 -1.9 60374.59132029623 1108.795799044694
-1.9 -1.8 66427.25674192469 1336.450825039108
-1.8 -1.7 69658.47035175099 979.1407982551345
-1.7 -1.6 71670.60569267161 1054.314621901163
-1.6 -1.5 76336.91459724547 1159.721711023079
-1.5 -1.4 39469.77274735871 1232.975753143834
-1.4 -1.3 44609.70493230503 1763.725391276618
-1.3 -1.2 44636.28525839676 1173.522665062244
-1.2 -1.1 44321.05704618467 1516.544435008333
-1.1 -1 51191.09372607069 1448.966343471318
-1 -0.9 51731.40811090893 1104.935791257408
-0.9 -0.8 51633.91574066249 1802.980778470842
-0.8 -0.7 52537.75391876823 1335.907961523627
-0.7 -0.6 52989.66883397344 1200.614542085173
-0.6 -0.5 55133.07681021688 1255.998638856281
-0.5 -0.4 57532.78768829198 1423.60978695478
-0.4 -0.3 54726.13447034106 1296.109426756477
-0.3 -0.2 56479.58577109606 1656.298012544822
-0.2 -0.1 56336.0537022831 1336.200513772515
-0.1 0 55166.03967225493 2667.196224814258
0 0.1 57233.68834969794 1311.323128638988
0.1 0.2 53653.54407558689 2034.833881439881
0.2 0.3 56784.57518773424 1763.585981508581
0.3 0.4 54738.53524707421 1781.699669344561
0.4 0.5 55314.18782468748 1916.200618670044
0.5 0.6 54412.50041992666 1635.996995850753
0.6 0.7 52933.73054687231 1492.21574977163
0.7 0.8 52802.37404331335 1216.687988563964
0.8 0.9 51925.82608916069 1600.173161414338
0.9 1 50772.80161960912 2404.072607184818
1 1.1 50352.46714709411 1375.88047852261
1.1 1.2 47736.72294418741 1573.679116269625
1.2 1.3 47109.78983313405 1442.266508308709
1.3 1.4 45770.28058877515 1440.112865522148
1.4 1.5 40643.57893527193 1070.998916473171
1.5 1.6 76029.43364931387 1140.791216909975
1.6 1.7 71384.87527770179 934.8475779082912
1.7 1.8 70108.51785173643 1356.691954223479
1.8 1.9 66087.07312055767 1024.398262857198
1.9 2 58889.77187767354 899.5471383566627
2 2.1 55840.62040359387 1009.46784659168
2.1 2.2 52970.12982164517 962.7007014946573
2.2 2.3 51017.04976992188 829.9865214470783
2.3 2.4 47571.93595725212 868.9061137196285
-2.4 2.4 2641838.902128387 9803.319328318732
