#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 48027.30642927971 1923.399750902807
26 27 51594.82421457094 1539.685092424646
27 28 60021.81694136484 1946.483827923927
28 29 61343.19486972186 1819.036639956852
29 30 67157.44743721845 1723.67397847421
30 31 73477.93572587369 2317.689388264518
31 32 77391.10061333951 1874.663659913995
32 33 87787.20546328841 2114.840337635919
33 34 93230.43402312108 2829.308793930118
34 35 98856.24507144594 2919.317288914528
35 36 106814.2357230693 2000.606493649055
36 37 119714.0805826415 2767.464010376267
37 38 124145.0888636896 2614.689299022405
38 39 128295.2714996195 3492.677383807161
39 40 128046.5863349255 4681.383707828709
40 41 122700.9203835565 7932.058328001174
41 42 101110.6214760062 4009.037402756904
42 43 81712.18025288478 1844.884982014644
43 44 67101.56065326637 1481.848541524668
44 45 55833.35735013 1554.520043084251
45 46 45553.97224673176 1000.499963620897
46 47 36873.50499905564 1012.924640824511
47 48 30510.96706517052 808.1253834357345
48 49 27623.58211827594 737.239639852656
49 50 23445.4468309022 810.2907279889853
50 51 18097.99016297528 886.2377902036185
51 52 17097.10699818506 489.1977026968106
52 53 15015.58417880996 534.1473767496623
53 54 13404.72396243791 514.8002955369871
54 55 12476.11806081505 470.020779071848
55 56 10495.23739408313 298.5390551157106
56 57 9294.014778805387 263.7409895186732
57 58 8087.166969701512 277.5766270560734
58 59 6900.595383422445 314.3473385231276
59 60 7004.69137237005 375.0282693886052
25 60 2036242.116430757 13848.97711298813
