#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 49744.65524143637 253.2315596241611
26 27 53137.60956001577 261.979613970827
27 28 56981.54662439271 310.2142918818153
28 29 62290.14136516987 292.2999169024204
29 30 68244.09267493454 308.3962850524445
30 31 73934.34173780965 337.8386872020664
31 32 80274.83689414992 351.1094959125865
32 33 86230.41290406531 371.7795430486518
33 34 93358.14181594443 478.9350930113322
34 35 100492.6605365101 487.1394593288647
35 36 108255.9230164269 477.3253636253424
36 37 115353.8986847326 501.2328416018341
37 38 122309.0745071511 536.4478284498949
38 39 127132.7119452085 554.3798626789217
39 40 125522.4173034437 642.6632892425688
40 41 117609.7296253988 726.698930901054
41 42 101550.288853608 459.2743091652976
42 43 83521.73910811539 301.0584238638163
43 44 67611.54529669684 232.9690991073415
44 45 55710.73816959979 185.1098127115826
45 46 45942.3275339697 143.7186242741419
46 47 38174.29463535071 119.536083659095
47 48 32043.82027771761 100.2771716086963
48 49 27150.13607227497 95.97556964310164
49 50 23127.46403597205 68.66050447034243
50 51 19955.77459476775 61.73347767780948
51 52 17257.65357002555 56.20747658399107
52 53 14973.08866747623 61.15488356034167
53 54 13058.13429171578 45.26591583272862
54 55 11623.27997769973 47.83513553858708
55 56 10094.10194003642 45.30029781490013
56 57 8978.253439141496 38.09117363483401
57 58 7859.840430208847 21.59135207655306
58 59 7078.785931642013 21.36088833230934
59 60 6335.814934540809 20.23773964000769
25 60 2032919.27619735 1932.891089049874
