#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 44736.54504676617 1798.37504719744
26 27 46800.9698045541 3072.516047732405
27 28 60482.60067790799 2994.84073148513
28 29 58722.59983139808 2759.929041133346
29 30 66839.23753270609 2935.64156911534
30 31 75598.12132154885 2740.183797338665
31 32 76131.27382094041 2611.957283949333
32 33 84254.6120616183 2855.021993507556
33 34 89894.9257019941 2954.897964301732
34 35 110862.2699746485 3730.199781836207
35 36 111152.0024148113 7502.500939572109
36 37 116644.2354819908 3552.137700060896
37 38 123620.7091331236 3349.623417630532
38 39 115988.5947154845 8560.04117552639
39 40 129252.9481619922 4211.990755904716
40 41 118584.9358300485 5170.278005374069
41 42 108529.0792908408 3175.669901671646
42 43 83237.65191662661 2186.021017381885
43 44 68300.77336997287 1710.641800119736
44 45 58285.82957383482 2029.427903491839
45 46 45643.45245035616 1314.455098784915
46 47 37832.35160050652 912.0724298096472
47 48 31981.85634545382 1303.939614015109
48 49 27132.40560428609 746.6584267134392
49 50 22551.81734892949 961.6479867550985
50 51 19110.46979335802 729.3115111074434
51 52 16457.88815906025 547.5757104026549
52 53 16086.96864194456 788.9418389105242
53 54 12232.13506919379 731.241243701445
54 55 11088.56889032824 417.9492458092214
55 56 9341.564624379671 433.1817944314953
56 57 9278.054117381409 509.9674191424998
57 58 8512.304367624072 477.6110491205944
58 59 7831.343288706993 549.7607153545904
59 60 5618.720733829953 411.4741617430057
25 60 2028619.816698147 17659.00223368539
