#qTlo qThi PDF0  uncertainty
0 2 106301.0496079158 8609.138429422823
2 4 208194.0265438841 4976.700786976593
4 6 229868.9916373255 2825.440732593651
6 8 202818.1048912028 2997.482855706653
8 10 176907.9084823865 2353.062493786038
10 12 148721.2649694397 2387.356309297244
12 14 124670.0519611021 2003.126494155193
14 16 105518.1714345098 1573.690235977186
16 18 91201.14733331095 1622.771234011425
18 20 80857.13553700771 1418.862375678407
20 22 64591.03089090931 1028.640473495696
22 24 60434.02199855023 1361.890064036027
24 26 50905.07600967507 800.4323104455157
26 28 43269.01923025114 1126.527458191861
28 30 40431.08050918396 699.4926376971763
30 32 33184.62978882273 763.7641957075756
32 34 30870.30614471153 772.6490713435235
34 36 27445.90006541317 670.3925029446403
36 38 24033.53015485361 858.2453428434055
38 40 20447.54135203207 858.656542544556
40 42 18164.32101519266 487.5543318101517
42 44 15792.38337751803 349.0578252564054
44 46 14756.82813204063 386.2567368735635
46 48 13694.88613730435 385.7718305162029
48 50 11985.31848075123 351.5879237627217
50 52 10202.8396939624 365.99086966551
52 54 9084.405153468339 435.4362360707988
54 56 8969.779886038388 379.9579130009922
56 58 8306.908774499734 327.7814904675475
58 60 7994.294055579519 432.974976306294
60 62 7050.336188358526 328.5775415578327
62 64 6908.491712553095 277.3088477381219
64 66 5987.832046485118 341.723285075231
66 68 6000.359605257821 274.1345451332236
68 70 5148.677048020828 247.8723613037411
70 72 4806.563428113632 330.3622844629313
72 74 4636.286712406806 320.3695180739646
74 76 3979.630944938313 203.6361954166629
76 78 3734.897229546887 122.8724294275741
78 80 3738.162002655036 142.5832073368899
80 82 3526.389283757316 204.359077255539
82 84 3068.653615009283 105.1857666506108
84 86 2670.648033161439 215.0895785006218
86 88 2505.950603597656 144.7211426856087
88 90 2458.08278114596 209.4374766552457
90 92 2443.907973367796 115.3808238968535
92 94 2109.43801917456 103.3572220110533
94 96 2020.722767636399 106.7372223110234
96 98 1921.34302076876 113.1250721212797
98 100 1978.991821884833 125.7728717822209
0 100 2066317.318086684 12212.2524042371
