#qTlo qThi PDF0  uncertainty
0 2 94233.08451775415 474.6161550585492
2 4 209203.1846127225 551.6701897173618
4 6 228334.3922947308 297.5985909037174
6 8 206829.8860775779 203.4121120057232
8 10 177101.6378628932 160.4329092466527
10 12 149544.8035542106 168.1998681284844
12 14 126338.0011423279 120.7262265314824
14 16 107260.232166833 79.23334637320488
16 18 91534.54203251039 77.70654279628607
18 20 78601.83335967502 77.37161775567854
20 22 67890.573970959 30.30255393282319
22 24 56776.97086560763 30.53373746620165
24 26 51351.307281663 17.26002648050814
26 28 44940.77066103238 13.11143014825049
28 30 39449.48688728604 11.01756540907438
30 32 34718.00150674642 9.502672565563671
32 34 30614.10306842953 7.94809839214434
34 36 27024.41350738719 7.327328468548911
36 38 23852.44183828473 7.61197457767446
38 40 20966.26718976369 12.12175684311887
40 42 18289.49219738528 8.75292915787216
42 44 16070.76885960785 7.831184591206216
44 46 14286.59837845145 6.699897680136426
46 48 12811.76140496778 7.085905499653692
48 50 11585.8732897814 7.702116985128488
50 52 10565.10641218341 9.578812257618997
52 54 9685.726989989787 3.575216214867746
54 56 8893.713233603961 7.156200712836701
56 58 8212.981389586765 7.349847597083909
58 60 7587.518410375367 5.516215893303311
60 62 7035.225747636623 3.925673269998483
62 64 6516.945645721836 6.700152908175
64 66 5990.670861914836 5.73675102946436
66 68 5484.78213270058 3.261437174034927
68 70 4996.887029825002 3.476843314170571
70 72 4534.738417300802 2.359400380589739
72 74 4095.456141565493 1.508669984470298
74 76 3687.583934850739 1.274708865732159
76 78 3318.248092049389 1.641696593686586
78 80 2988.46211108085 1.594558195095531
80 82 2697.76063746659 1.034669342061844
82 84 2436.022463819556 0.8520108646762916
84 86 2207.870213931044 0.766255850626738
86 88 2010.846639537886 0.7009169986782415
88 90 1840.739509997886 0.6414411660217695
90 92 1693.904914080784 0.5939810166621941
92 94 1566.705273371105 0.5501773340573415
94 96 1455.946551060748 0.5177639918159943
96 98 1358.683195085065 0.4795425422691082
98 100 1272.528169267816 0.4518266033317342
0 100 2051745.482646594 866.0085922498967
