#qTlo qThi PDF0  uncertainty
0 2 107107.543486367 7334.49100753064
2 4 212226.9782714215 3888.494707560627
4 6 228477.9831011568 3287.008288197441
6 8 205516.02615508 2086.904887192073
8 10 175006.1415161818 2718.460322747924
10 12 149687.1800891616 2995.636438114871
12 14 126247.4880067381 1635.099226866681
14 16 103130.6366810506 1261.902864798405
16 18 92154.91979375904 2362.188594466315
18 20 78571.26465713842 1118.858213031043
20 22 64159.4822735319 940.9167468855634
22 24 58615.29661145467 944.6609929990504
24 26 50375.1371056413 584.6028633089461
26 28 44921.40077621603 666.4125228966655
28 30 39187.33540838565 708.3644904823566
30 32 35257.2631830831 543.879690753235
32 34 30675.48259714559 551.2999510002745
34 36 26260.74027162517 475.8165916874758
36 38 24534.71145560401 689.4298107541224
38 40 20625.1616829476 695.4887166547391
40 42 17958.69735257452 490.5203513657471
42 44 15955.08528194159 344.6016587444203
44 46 15529.39573197383 386.2811265832291
46 48 12771.89104028326 317.4303192871326
48 50 11374.35950287377 325.9509383888559
50 52 11113.83691485898 433.7247329062385
52 54 9412.711912417686 326.5372014051161
54 56 8653.325295409632 190.1794263416641
56 58 7996.183455018431 174.5195872030927
58 60 7843.183635785424 208.0507907218963
60 62 6922.124202187666 180.3101355723263
62 64 6519.660848713326 195.616103748942
64 66 6559.542573319621 234.3947685311629
66 68 5645.244895333675 186.815838671026
68 70 5150.204709856767 206.18963865025
70 72 4694.764158818453 165.2274269037977
72 74 4248.308003459524 130.952833279044
74 76 3967.325129599793 109.061778235445
76 78 3752.709085593549 157.010251166896
78 80 3173.472137779178 136.4528897089879
80 82 3232.045504622126 135.7340206023779
82 84 2944.492045896127 96.21458351521949
84 86 2576.467011363989 147.7964254237122
86 88 2445.890490299274 105.6773262793181
88 90 2256.175910857527 102.6233704237048
90 92 2118.2673549467 121.9834592385317
92 94 2171.451277295761 71.83341431239967
94 96 1943.102557977709 92.22562394642389
96 98 1828.053466253722 84.77495479912122
98 100 1658.034960905668 76.68209987228515
0 100 2065154.179571907 10859.220283989
