#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
48 50 25 26 476.604694154217 0.9312210350076
48 50 26 27 431.2373516161282 0.9075274333324165
48 50 27 28 401.7700421502911 0.8520739038802138
48 50 28 29 382.3548380602811 0.8179373184283506
48 50 29 30 354.0774139050598 0.7587415197392903
48 50 30 31 348.5104513566322 0.7497868359839478
48 50 31 32 321.576144988166 0.6875891650955437
48 50 32 33 317.9560771580624 0.7135182633236824
48 50 33 34 300.624963735799 0.6915259201866599
48 50 34 35 300.3154418679333 0.6681596187104601
48 50 35 36 275.4506078044764 0.6337211901673853
48 50 36 37 272.4301253363178 0.5933843280872095
48 50 37 38 271.056443059606 0.6054077745002295
48 50 38 39 257.9165336503501 0.6293865718559912
48 50 39 40 255.5538591454903 0.541477015894024
48 50 40 41 242.7055613502509 0.5695980984834836
48 50 41 42 247.8453527986021 0.5667071482983116
48 50 42 43 236.1255188205476 0.5473792382567688
48 50 43 44 222.2551949099287 0.4949427239460421
48 50 44 45 236.3341140160113 0.5237005665725952
48 50 45 46 211.7901347913345 0.4868993271668366
48 50 46 47 215.7503362313875 0.5246234748683605
48 50 47 48 219.8971980399918 0.4901171989659367
48 50 48 49 204.0808393315094 0.4661921652948958
48 50 49 50 215.6031613462866 0.5192762963957535
48 50 50 51 194.1947422427402 0.4674843100411459
48 50 51 52 199.3265919232603 0.4464095042688438
48 50 52 53 202.119731264697 0.4858305002226022
48 50 53 54 189.6172961501514 0.4494941952894022
48 50 54 55 192.3787429006784 0.4713827468235869
48 50 55 56 185.6849160182842 0.4460496081299377
48 50 56 57 188.5897120427035 0.4528216223270163
48 50 57 58 185.3238472058055 0.4298062898143793
48 50 58 59 176.9862507911118 0.426548859714403
48 50 59 60 181.7144745480743 0.4148063670946435
50 52 25 26 424.1716411074144 0.8171298739175051
50 52 26 27 387.762604287564 0.8516330136782121
50 52 27 28 357.9938550973872 0.7957779051184865
50 52 28 29 342.8622177173874 0.7452200088017659
50 52 29 30 317.4539437927641 0.7483523899561276
50 52 30 31 314.538351957206 0.7120826941670181
50 52 31 32 288.6405015680834 0.6718433148780978
50 52 32 33 284.2672100066468 0.6244507400150644
50 52 33 34 268.7825177650785 0.6575542050948838
50 52 34 35 271.0662799562563 0.6094699995048963
50 52 35 36 248.9912642039301 0.5974148452505491
50 52 36 37 242.5702548721602 0.5923977936119204
50 52 37 38 248.4898377398958 0.5738489965607582
50 52 38 39 228.2568683110816 0.5510880119330017
50 52 39 40 230.7708797484928 0.5321246429205264
50 52 40 41 221.9828294218795 0.48325679108377
50 52 41 42 214.3495564098229 0.5205076503746084
50 52 42 43 221.1964153778131 0.4944643275886736
50 52 43 44 199.0406314678608 0.4961536147891394
50 52 44 45 207.6947713118433 0.4799844527894248
50 52 45 46 198.1188892015999 0.4670643684691507
50 52 46 47 189.1817877609823 0.4389227445190433
50 52 47 48 193.6117077147775 0.4617156502455256
50 52 48 49 188.729589633743 0.4397797776122702
50 52 49 50 184.911905273483 0.4428927752562241
50 52 50 51 187.7225480376313 0.4503434098788937
50 52 51 52 170.3824056549931 0.4299165379080397
50 52 52 53 178.0114209581922 0.4083815226163438
50 52 53 54 172.9882470036397 0.4228940686246035
50 52 54 55 169.4445575205982 0.4025477572565805
50 52 55 56 169.5260942411604 0.4046786037351149
50 52 56 57 162.5603943728169 0.4276240264167659
50 52 57 58 166.8050878531822 0.443450389965146
50 52 58 59 162.534331627394 0.3787048119750138
50 52 59 60 156.5001218953698 0.4154971790756388
48 52 25 60 17287.6702255823 4.855522536125105
