#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
4 6 25 26 3976.865291143849 268.4520690637153
4 6 26 27 4490.354610359022 249.8801520654945
4 6 27 28 4689.224275997669 259.2199403066816
4 6 28 29 5496.088828462449 418.6995782302729
4 6 29 30 7662.717338644157 366.8059102834742
4 6 30 31 8676.834860483999 463.0389592024322
4 6 31 32 9514.173352134505 612.2632088621713
4 6 32 33 9805.892717591407 572.7473226662684
4 6 33 34 10832.89613471887 726.7611159951222
4 6 34 35 12223.49058468713 768.2690239294866
4 6 35 36 13873.05988982239 797.1305896086844
4 6 36 37 17517.03321626539 812.1517089788575
4 6 37 38 21725.6798673173 831.8015675917209
4 6 38 39 24580.62757793922 1808.75535241685
4 6 39 40 21927.72960352219 1541.729625737596
4 6 40 41 18664.54694436129 1017.665012788678
4 6 41 42 16000.30184005584 768.2163604211526
4 6 42 43 15342.34261808851 652.4739380902158
4 6 43 44 5908.834885188255 589.0236072752249
4 6 44 45 2266.539102488593 143.6954197931798
4 6 45 46 1250.340447254982 75.64804730749448
4 6 46 47 728.1329141840338 70.5438199679101
4 6 47 48 -450.6490325553771 34.03592494471866
4 6 48 49 647.5441302227061 6.741860628925534
4 6 49 50 -174.301020143921 5.460281285078397
4 6 50 51 -76.90926831230743 0.1427618517855786
4 6 51 52 -30.98869603290759 0.1103760225576033
4 6 52 53 -5.064717378032221 0.006966806079349341
4 6 53 54 -0.002109635058431023 4.570243125875028e-06
4 6 54 55 0 4.234224863726249e-20
4 6 55 56 0 4.234224863726249e-20
4 6 56 57 0 4.234224863726249e-20
4 6 57 58 0 4.234224863726249e-20
4 6 58 59 0 4.234224863726249e-20
4 6 59 60 0 4.234224863726249e-20
6 8 25 26 2806.132987130606 223.2956776702701
6 8 26 27 4041.10698402384 224.8779974488236
6 8 27 28 4278.848646593018 212.7492261764626
6 8 28 29 5038.634657848143 326.1407781925944
6 8 29 30 5845.99384631825 278.323488968926
6 8 30 31 6805.612823923326 418.4078481916553
6 8 31 32 8244.261137442008 348.5378263181549
6 8 32 33 9902.352118336428 526.8251421583046
6 8 33 34 9210.043467910802 654.6531780931282
6 8 34 35 12052.19457779687 418.1188980733003
6 8 35 36 14895.88751882684 579.0440046624482
6 8 36 37 18413.42115527616 671.4103185723601
6 8 37 38 19984.91754579157 872.7505660936276
6 8 38 39 15222.67517172153 694.4263103317076
6 8 39 40 15406.05769313728 598.567608751618
6 8 40 41 13021.72032131522 810.5475749747037
6 8 41 42 12490.47052954534 528.9792010178371
6 8 42 43 11989.40979282331 685.9901808158517
6 8 43 44 11061.02037485793 529.6876016400471
6 8 44 45 4793.246852670492 207.7484060433514
6 8 45 46 1729.39348387357 84.24027907167188
6 8 46 47 968.3736050471678 65.56358671804536
6 8 47 48 379.8047803192646 34.06248254566385
6 8 48 49 468.2021620227096 17.6422765596316
6 8 49 50 -169.5384255210114 19.89415051646405
6 8 50 51 -61.15412456204449 0.06908716586049396
6 8 51 52 -36.18527954312763 0.5640568251836319
6 8 52 53 -15.85380652266537 0.07092292778778261
6 8 53 54 -2.770014266364912 0.005159939411519372
6 8 54 55 -0.005615478551986432 1.692192170006411e-05
6 8 55 56 0 4.234224863726249e-20
6 8 56 57 0 4.234224863726249e-20
6 8 57 58 0 4.234224863726249e-20
6 8 58 59 0 4.234224863726249e-20
6 8 59 60 0 4.234224863726249e-20
4 8 25 60 445827.6111555339 4272.404663414719
