#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
80 82 25 26 64.92025428721486 6.971814249843836
80 82 26 27 80.96427788500355 8.177039465109543
80 82 27 28 13.7410481305463 8.699812315060022
80 82 28 29 9.400016142214113 7.261016582713088
80 82 29 30 35.55098878783088 10.9277522035185
80 82 30 31 41.98540293039888 7.359189847694543
80 82 31 32 24.09719979279563 6.361565832438031
80 82 32 33 55.65107450793736 5.965256057450119
80 82 33 34 14.41778363449282 8.356476495940203
80 82 34 35 34.20933122486606 5.221306009876046
80 82 35 36 50.69511104037085 5.208951969460712
80 82 36 37 34.11871098300351 6.837149929359763
80 82 37 38 22.86971516361809 7.870233118924221
80 82 38 39 14.08017513311628 4.219228179112415
80 82 39 40 44.07097484501932 4.391914016484893
80 82 40 41 52.24692866067947 5.381586779510585
80 82 41 42 37.51221687671796 4.412823092427302
80 82 42 43 45.47299630547524 7.163155799668635
80 82 43 44 26.24882462142121 6.924044360312826
80 82 44 45 58.68757166224013 7.071094319980436
80 82 45 46 49.92286492385314 5.583534113908812
80 82 46 47 34.10105412428843 3.217446102962168
80 82 47 48 44.63540606848803 8.67319872401494
80 82 48 49 19.48359110348524 5.718194057966489
80 82 49 50 37.38038878542996 2.767390366376485
80 82 50 51 41.16435376825819 6.462896671524605
80 82 51 52 38.63971567697205 6.653557165309896
80 82 52 53 37.07493195362697 6.516918613859939
80 82 53 54 32.25941946967005 7.641675059729798
80 82 54 55 11.52530023779216 6.182574776750879
80 82 55 56 40.69300541295876 7.369650988516718
80 82 56 57 22.39697056445512 4.466147551662381
80 82 57 58 28.13125498923068 4.880074024291089
80 82 58 59 37.17757965420063 3.931089040888958
80 82 59 60 12.55281377319916 2.890087561955915
82 84 25 26 58.0438880035782 4.776248961599178
82 84 26 27 58.80297901176576 6.570365100825903
82 84 27 28 58.41709892973353 6.034652559312224
82 84 28 29 60.58515769933123 5.94768579738203
82 84 29 30 54.58449574507822 7.419599600394074
82 84 30 31 34.68059296983102 7.383020896657693
82 84 31 32 36.30690769812178 9.276472517783768
82 84 32 33 48.83815858068228 5.313555010316767
82 84 33 34 -4.109663330737172 6.398607648762182
82 84 34 35 36.38106221766252 9.121725695285637
82 84 35 36 42.21130642079223 5.311962063820491
82 84 36 37 23.0454250031462 3.494409578571952
82 84 37 38 6.992945554592034 4.802614736801194
82 84 38 39 6.436979420019926 7.79401139258151
82 84 39 40 5.220603523725966 7.552377988300536
82 84 40 41 36.35262183066313 7.806967631215559
82 84 41 42 27.89572090483133 5.62029634215361
82 84 42 43 43.92222225286448 5.650893932885762
82 84 43 44 30.30089864249321 5.005679034088657
82 84 44 45 37.23126701601915 4.85500473577142
82 84 45 46 19.84902279159447 4.899858413578313
82 84 46 47 29.76185473569421 2.698861603972975
82 84 47 48 41.2463265138424 6.101157772154686
82 84 48 49 31.68250872208608 4.808620297426642
82 84 49 50 32.61960424395211 8.529502571382972
82 84 50 51 29.18219962950265 7.025251151068123
82 84 51 52 44.06303948533323 5.982265014712714
82 84 52 53 35.4684488670667 6.131065313554462
82 84 53 54 0.896883970162865 7.095076921212339
82 84 54 55 20.46766750925605 6.903500542932092
82 84 55 56 28.74573615331932 4.462250234507986
82 84 56 57 39.11191732454312 4.392800286504042
82 84 57 58 41.26323045196398 5.488964436198938
82 84 58 59 30.82963790305629 1.696849206695252
82 84 59 60 25.02218465007931 1.97818103088794
80 84 25 60 2400.43018416652 52.59952255125501
