#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 690793.0831566026 906.6186793590989
-2.3 -2.2 690793.0831566026 906.6186793590989
-2.2 -2.1 690793.0831566026 906.6186793590989
-2.1 -2 690793.0831566026 906.6186793590989
-2 -1.9 690793.0831566026 906.6186793590989
-1.9 -1.8 690793.0831566026 906.6186793590989
-1.8 -1.7 690793.0831566026 906.6186793590989
-1.7 -1.6 690793.0831566026 906.6186793590989
-1.6 -1.5 690793.0831566026 906.6186793590989
-1.5 -1.4 690793.0831566026 906.6186793590989
-1.4 -1.3 690793.0831566026 906.6186793590989
-1.3 -1.2 690793.0831566026 906.6186793590989
-1.2 -1.1 690793.0831566026 906.6186793590989
-1.1 -1 690793.0831566026 906.6186793590989
-1 -0.9 690793.0831566026 906.6186793590989
-0.9 -0.8 690793.0831566026 906.6186793590989
-0.8 -0.7 690793.0831566026 906.6186793590989
-0.7 -0.6 690793.0831566026 906.6186793590989
-0.6 -0.5 690793.0831566026 906.6186793590989
-0.5 -0.4 690793.0831566026 906.6186793590989
-0.4 -0.3 690793.0831566026 906.6186793590989
-0.3 -0.2 690793.0831566026 906.6186793590989
-0.2 -0.1 690793.0831566026 906.6186793590989
-0.1 0 690793.0831566026 906.6186793590989
0 0.1 690793.0831566026 906.6186793590989
0.1 0.2 690793.0831566026 906.6186793590989
0.2 0.3 690793.0831566026 906.6186793590989
0.3 0.4 690793.0831566026 906.6186793590989
0.4 0.5 690793.0831566026 906.6186793590989
0.5 0.6 690793.0831566026 906.6186793590989
0.6 0.7 690793.0831566026 906.6186793590989
0.7 0.8 690793.0831566026 906.6186793590989
0.8 0.9 690793.0831566026 906.6186793590989
0.9 1 690793.0831566026 906.6186793590989
1 1.1 690793.0831566026 906.6186793590989
1.1 1.2 690793.0831566026 906.6186793590989
1.2 1.3 690793.0831566026 906.6186793590989
1.3 1.4 690793.0831566026 906.6186793590989
1.4 1.5 690793.0831566026 906.6186793590989
1.5 1.6 690793.0831566026 906.6186793590989
1.6 1.7 690793.0831566026 906.6186793590989
1.7 1.8 690793.0831566026 906.6186793590989
1.8 1.9 690793.0831566026 906.6186793590989
1.9 2 690793.0831566026 906.6186793590989
2 2.1 690793.0831566026 906.6186793590989
2.1 2.2 690793.0831566026 906.6186793590989
2.2 2.3 690793.0831566026 906.6186793590989
2.3 2.4 690793.0831566026 906.6186793590989
-2.4 2.4 33158067.99151696 6281.238462963827
