#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 669562.449143487 2527.789391987002
26 27 669562.449143487 2527.789391987002
27 28 669562.449143487 2527.789391987002
28 29 669562.449143487 2527.789391987002
29 30 669562.449143487 2527.789391987002
30 31 669562.449143487 2527.789391987002
31 32 669562.449143487 2527.789391987002
32 33 669562.449143487 2527.789391987002
33 34 669562.449143487 2527.789391987002
34 35 669562.449143487 2527.789391987002
35 36 669562.449143487 2527.789391987002
36 37 669562.449143487 2527.789391987002
37 38 669562.449143487 2527.789391987002
38 39 669562.449143487 2527.789391987002
39 40 669562.449143487 2527.789391987002
40 41 669562.449143487 2527.789391987002
41 42 669562.449143487 2527.789391987002
42 43 669562.449143487 2527.789391987002
43 44 669562.449143487 2527.789391987002
44 45 669562.449143487 2527.789391987002
45 46 669562.449143487 2527.789391987002
46 47 669562.449143487 2527.789391987002
47 48 669562.449143487 2527.789391987002
48 49 669562.449143487 2527.789391987002
49 50 669562.449143487 2527.789391987002
50 51 669562.449143487 2527.789391987002
51 52 669562.449143487 2527.789391987002
52 53 669562.449143487 2527.789391987002
53 54 669562.449143487 2527.789391987002
54 55 669562.449143487 2527.789391987002
55 56 669562.449143487 2527.789391987002
56 57 669562.449143487 2527.789391987002
57 58 669562.449143487 2527.789391987002
58 59 669562.449143487 2527.789391987002
59 60 669562.449143487 2527.789391987002
25 60 23434685.72002207 14954.60371786798
