#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 676591.6197987106 897.4191511932887
26 27 676591.6197987106 897.4191511932887
27 28 676591.6197987106 897.4191511932887
28 29 676591.6197987106 897.4191511932887
29 30 676591.6197987106 897.4191511932887
30 31 676591.6197987106 897.4191511932887
31 32 676591.6197987106 897.4191511932887
32 33 676591.6197987106 897.4191511932887
33 34 676591.6197987106 897.4191511932887
34 35 676591.6197987106 897.4191511932887
35 36 676591.6197987106 897.4191511932887
36 37 676591.6197987106 897.4191511932887
37 38 676591.6197987106 897.4191511932887
38 39 676591.6197987106 897.4191511932887
39 40 676591.6197987106 897.4191511932887
40 41 676591.6197987106 897.4191511932887
41 42 676591.6197987106 897.4191511932887
42 43 676591.6197987106 897.4191511932887
43 44 676591.6197987106 897.4191511932887
44 45 676591.6197987106 897.4191511932887
45 46 676591.6197987106 897.4191511932887
46 47 676591.6197987106 897.4191511932887
47 48 676591.6197987106 897.4191511932887
48 49 676591.6197987106 897.4191511932887
49 50 676591.6197987106 897.4191511932887
50 51 676591.6197987106 897.4191511932887
51 52 676591.6197987106 897.4191511932887
52 53 676591.6197987106 897.4191511932887
53 54 676591.6197987106 897.4191511932887
54 55 676591.6197987106 897.4191511932887
55 56 676591.6197987106 897.4191511932887
56 57 676591.6197987106 897.4191511932887
57 58 676591.6197987106 897.4191511932887
58 59 676591.6197987106 897.4191511932887
59 60 676591.6197987106 897.4191511932887
25 60 23680706.69295485 5309.203297341032
