#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 673139.0097595127 2543.567422351307
26 27 673139.0097595127 2543.567422351307
27 28 673139.0097595127 2543.567422351307
28 29 673139.0097595127 2543.567422351307
29 30 673139.0097595127 2543.567422351307
30 31 673139.0097595127 2543.567422351307
31 32 673139.0097595127 2543.567422351307
32 33 673139.0097595127 2543.567422351307
33 34 673139.0097595127 2543.567422351307
34 35 673139.0097595127 2543.567422351307
35 36 673139.0097595127 2543.567422351307
36 37 673139.0097595127 2543.567422351307
37 38 673139.0097595127 2543.567422351307
38 39 673139.0097595127 2543.567422351307
39 40 673139.0097595127 2543.567422351307
40 41 673139.0097595127 2543.567422351307
41 42 673139.0097595127 2543.567422351307
42 43 673139.0097595127 2543.567422351307
43 44 673139.0097595127 2543.567422351307
44 45 673139.0097595127 2543.567422351307
45 46 673139.0097595127 2543.567422351307
46 47 673139.0097595127 2543.567422351307
47 48 673139.0097595127 2543.567422351307
48 49 673139.0097595127 2543.567422351307
49 50 673139.0097595127 2543.567422351307
50 51 673139.0097595127 2543.567422351307
51 52 673139.0097595127 2543.567422351307
52 53 673139.0097595127 2543.567422351307
53 54 673139.0097595127 2543.567422351307
54 55 673139.0097595127 2543.567422351307
55 56 673139.0097595127 2543.567422351307
56 57 673139.0097595127 2543.567422351307
57 58 673139.0097595127 2543.567422351307
58 59 673139.0097595127 2543.567422351307
59 60 673139.0097595127 2543.567422351307
25 60 23559865.34158298 15047.94780432338
