#qTlo qThi PDF0  uncertainty
0 2 27446.09916501399 2428.17513025751
2 4 65923.74648860784 1692.121712397233
4 6 70267.96511462727 1005.428043797244
6 8 61374.93079366017 864.4034393709791
8 10 52853.5920225912 711.3322627536625
10 12 47367.31905730924 712.4734593031055
12 14 38827.66051858238 625.4327432149374
14 16 34151.08198527071 573.0668298740443
16 18 29464.24123288887 425.8997171239396
18 20 25544.95644061159 478.6656561933941
20 22 22090.21605149833 326.5987354975313
22 24 19341.47241378839 312.2519069210886
24 26 17449.26200818019 463.0695701910975
26 28 15403.07962690594 384.3833209651585
28 30 13753.32475958475 252.9134401418724
30 32 12208.71809222536 266.3491980169817
32 34 10546.1212965238 248.6012501311376
34 36 10239.74032521176 284.7544649277778
36 38 8628.458050594456 201.2423891068256
38 40 8079.294589936475 244.262926714205
40 42 7092.207437455642 146.4840894248198
42 44 6922.055094342613 237.2949476899865
44 46 5721.788454274023 209.2985058551158
46 48 5349.388495035916 133.9255182552242
48 50 4968.396471362577 217.1084680124307
50 52 4602.509921236623 106.1880019706803
52 54 3887.305566587843 116.8298534680041
54 56 3768.270213773427 106.4516077339877
56 58 3377.763799765805 93.96933174612904
58 60 3108.959768776304 109.0220740969704
60 62 2835.96610048077 115.5690995603347
62 64 2662.104865894898 93.74274896965829
64 66 2288.280974025035 90.50673940741447
66 68 2128.099916304886 71.95242719686871
68 70 1890.077581692415 79.21676735456451
70 72 1853.694575279831 90.80544471424211
72 74 1619.335772489119 82.83246400230708
74 76 1663.631192041426 64.71886891142272
76 78 1455.319365532107 73.02755624853263
78 80 1430.43028416379 53.17818099829216
80 82 1277.934521940364 71.24033737057725
82 84 1161.737118625627 44.25201949104081
84 86 1150.174543487435 43.1342457204892
86 88 1051.611061663177 42.77544650292499
88 90 821.3070263025334 51.91313708840747
90 92 870.0170140471239 42.03441969541338
92 94 829.1679539430468 42.02073068179769
94 96 819.6757256503022 46.82217863518456
96 98 627.5662414436334 35.47026377919325
98 100 676.9772228340665 34.30600260598182
0 100 668873.0343140647 3733.608758690094
