#qTlo qThi PDF0  uncertainty
0 2 28413.47457003529 351.120200322614
2 4 62253.41041871408 132.6030581388888
4 6 67361.42543333618 57.57218332075305
6 8 61361.34940914664 41.99286141474879
8 10 53207.29875009308 25.48749688088926
10 12 45605.99042707731 11.49931080483938
12 14 39101.35007461331 33.09604976837464
14 16 33665.39907126258 22.40767618206461
16 18 29138.75766352578 15.72203725389939
18 20 25358.98685675126 10.8846945143692
20 22 22177.58624835087 15.9283184550646
22 24 19480.56538934491 12.08785952229155
24 26 17184.29237754289 18.21197188567223
26 28 15218.79838340301 14.45499079529044
28 30 13528.04996701503 11.11774633603003
30 32 12068.27331182054 8.365307023163718
32 34 10798.97499217637 5.844507480416424
34 36 9687.819496685668 3.513920223411605
36 38 8712.197300296866 1.496581041496575
38 40 7844.208577361424 3.903609739630483
40 42 7092.064775920593 6.964262700013232
42 44 6418.421837172532 6.037238454511366
44 46 5818.64378534914 3.451142652085534
46 48 5282.86443400986 1.002173657918311
48 50 4804.634786738445 1.965744528961039
50 52 4381.850922753025 2.520687302666008
52 54 3982.565025076998 2.210864761412711
54 56 3633.766628413302 2.261885957633176
56 58 3308.26712929619 1.855503134329162
58 60 3005.864101579945 2.734127192589925
60 62 2748.266262103115 2.403200357968275
62 64 2515.9842734925 1.371021669878517
64 66 2314.988344806459 1.94934985238128
66 68 2137.59407181145 0.4831874121743956
68 70 1975.469021921354 1.214476986574645
70 72 1820.343089667963 1.135770009746609
72 74 1671.476524170687 0.776804134812956
74 76 1528.961224547908 0.5101916330283841
76 78 1395.620955739324 0.8192737866911629
78 80 1266.733780079323 0.5047510843077953
80 82 1144.640110892925 0.5255932067307042
82 84 1031.039106398591 0.395964057857546
84 86 929.9151586188837 0.345601256723236
86 88 837.7825511129197 0.3703884308454661
88 90 755.7908068363975 0.4100693426385063
90 92 683.3891825321468 0.2245687959204876
92 94 620.0199634437768 0.1929768353726783
94 96 564.6338993459924 0.1797860892997021
96 98 515.7796935724807 0.1548108024428524
98 100 473.2903369575926 0.1428979359290737
0 100 656828.8705029151 387.3450237981007
