#qTlo qThi PDF0  uncertainty
0 2 27071.14274911606 3484.214597579982
2 4 60035.64677819534 1830.96743432969
4 6 70976.01261459943 1425.943142548967
6 8 63147.09202521347 905.8927259615191
8 10 53454.26301925258 1441.264053586316
10 12 46599.5041283318 698.1660653729317
12 14 39106.31672241488 793.286654484669
14 16 33570.12666657335 839.3629062191746
16 18 30213.46126354775 611.7740670159204
18 20 25833.8134730791 1051.926793377564
20 22 22209.73019689018 405.2070311768614
22 24 19852.83316896481 372.5160270995331
24 26 17289.28585460468 335.5578992994065
26 28 15069.6257887435 282.0920995905387
28 30 12689.96140840135 322.2149881151136
30 32 12294.42267040158 320.7290254476832
32 34 10662.22433065055 255.3050724266583
34 36 9581.15677751048 243.2942533262492
36 38 8570.386994101958 238.6303050204592
38 40 8020.333721772422 209.2840874261634
40 42 6888.955034528061 237.6410706060585
42 44 6487.678666106425 181.814071932809
44 46 5747.857630537576 229.5822232468993
46 48 5452.190335760547 199.3154848495242
48 50 4899.006154604492 183.4857187071322
50 52 4533.166775437992 164.1256070930114
52 54 4051.013776198716 125.64562783367
54 56 3747.101482486182 170.0509393622524
56 58 3648.720859170029 139.4577187205832
58 60 3019.634474768921 117.7459876839321
60 62 2489.837607119468 181.7693861538357
62 64 2541.24360688922 71.16919869286579
64 66 2563.282816477986 87.89378367445092
66 68 2127.184140504207 78.15825804417058
68 70 1950.703644299637 118.5032618629315
70 72 1874.137172892816 90.68383034420964
72 74 1765.097535775775 68.6680180584291
74 76 1656.957179867834 66.39384406844962
76 78 1500.767052217736 56.43883705946007
78 80 1505.340941416372 62.63519708074238
80 82 1306.636152872255 63.54246268555835
82 84 1166.454120837617 49.36154379933549
84 86 1065.800052525441 52.00244532388464
86 88 1003.835765358161 50.73027099449938
88 90 935.1593031683919 59.32638166234282
90 92 841.1482283835327 50.10639249722308
92 94 824.6357556014087 32.85554823383637
94 96 843.0514079309394 35.11381614974542
96 98 697.9403048558593 34.84414552724206
98 100 662.5261730206236 29.45843314617966
0 100 664044.4045039804 5008.55468721336
